City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.46,light rain,3.0707,172.7902,Isles Sunset Lodge
3,Lalmohan,BD,81.37,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
4,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
5,Atuona,PF,78.31,overcast clouds,-9.8,-139.0333,Villa Enata
7,Bonoua,CI,83.82,light rain,5.2741,-3.595,Hotel Bon Samaritian
8,Fare,PF,80.96,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
16,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Rikitea,PF,76.46,few clouds,-23.1203,-134.9692,People ThankYou
25,Mogadishu,SO,82.4,moderate rain,2.0371,45.3438,Hotel Juba
35,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
36,Kavaratti,IN,84.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
44,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
49,Carutapera,BR,76.3,moderate rain,-1.195,-46.02,Lidera
51,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
54,Pamanukan,ID,79.0,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
57,Srandakan,ID,79.66,overcast clouds,-7.9386,110.2506,Puri Brata
58,Palasa,IN,80.49,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
61,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
62,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
66,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
70,Brandon,US,82.72,light intensity drizzle,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
77,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
80,Labuhan,ID,80.51,overcast clouds,-6.8844,112.2051,DoubleFAG
82,Dillon,US,80.85,overcast clouds,34.4166,-79.3712,Dillon Express Inn
84,Dalbandin,PK,76.57,scattered clouds,28.8947,64.4101,Sanjrani House
85,Sur,OM,81.99,clear sky,22.5667,59.5289,Sur Plaza Hotel
