City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sitka,US,2022-04-21 20:51:55,57.0531,-135.33,48.09,61,20,4.61
1,Hilo,US,2022-04-21 20:48:44,19.7297,-155.09,91.27,69,75,5.99
2,Avarua,CK,2022-04-21 20:50:12,-21.2078,-159.775,78.85,61,40,12.66
3,Lebu,CL,2022-04-21 20:51:55,-37.6167,-73.65,55.11,98,100,7.83
4,Victoria,HK,2022-04-21 20:51:12,22.2855,114.1577,75.38,88,55,4.0
5,Naryan-Mar,RU,2022-04-21 20:51:56,67.6713,53.087,6.78,100,92,3.58
6,Jamestown,US,2022-04-21 20:47:48,42.097,-79.2353,57.02,74,100,16.11
7,Khatanga,RU,2022-04-21 20:51:56,71.9667,102.5,-4.76,100,86,6.4
8,Ponta Do Sol,PT,2022-04-21 20:51:56,32.6667,-17.1,63.72,68,59,10.36
9,Norman Wells,CA,2022-04-21 20:51:57,65.282,-126.8329,26.64,54,40,11.5
10,Mataura,NZ,2022-04-21 20:51:57,-46.1927,168.8643,48.47,94,99,7.76
11,Bluff,NZ,2022-04-21 20:51:57,-46.6,168.3333,48.79,60,100,17.07
12,Poronaysk,RU,2022-04-21 20:51:58,49.2167,143.1167,32.31,96,74,4.38
13,Miramar,US,2022-04-21 20:51:58,25.9873,-80.2323,82.0,63,75,18.41
14,Kaitangata,NZ,2022-04-21 20:51:58,-46.2817,169.8464,47.16,90,100,14.97
15,San Patricio,US,2022-04-21 20:51:59,28.017,-97.5169,86.09,55,28,19.8
16,Pangnirtung,CA,2022-04-21 20:51:59,66.1451,-65.7125,17.6,73,75,9.22
17,Hobart,AU,2022-04-21 20:47:05,-42.8794,147.3294,49.86,77,75,9.22
18,Ribeira Grande,PT,2022-04-21 20:51:59,38.5167,-28.7,57.6,62,40,11.5
19,Yulara,AU,2022-04-21 20:51:59,-25.2406,130.9889,60.64,41,5,10.36
20,Punta Arenas,CL,2022-04-21 20:51:57,-53.15,-70.9167,46.51,61,75,17.27
21,Yellowknife,CA,2022-04-21 20:49:54,62.456,-114.3525,32.56,47,20,9.22
22,Pisco,PE,2022-04-21 20:52:00,-13.7,-76.2167,73.45,68,0,24.16
23,Ushuaia,AR,2022-04-21 20:52:00,-54.8,-68.3,44.22,81,75,18.41
24,Ciechanow,PL,2022-04-21 20:52:01,52.8814,20.62,50.41,96,100,7.87
25,Glushkovo,RU,2022-04-21 20:52:01,51.3392,34.6328,42.19,80,100,6.67
26,Saint-Philippe,RE,2022-04-21 20:52:01,-21.3585,55.7679,75.22,88,83,11.05
27,Tiksi,RU,2022-04-21 20:52:01,71.6872,128.8694,9.05,96,100,4.5
28,Rikitea,PF,2022-04-21 20:52:02,-23.1203,-134.9692,70.25,89,100,14.81
29,Albany,US,2022-04-21 20:52:02,42.6001,-73.9662,57.4,47,100,1.01
30,Atuona,PF,2022-04-21 20:52:02,-9.8,-139.0333,78.98,81,14,16.33
31,Nabire,ID,2022-04-21 20:52:03,-3.3667,135.4833,74.59,94,86,3.31
32,Grindavik,IS,2022-04-21 20:52:03,63.8424,-22.4338,49.95,81,75,12.66
33,Remontnoye,RU,2022-04-21 20:52:03,46.5614,43.6501,52.47,64,100,9.93
34,Mahasamund,IN,2022-04-21 20:52:04,21.1,82.1,88.97,34,79,11.77
35,Gorontalo,ID,2022-04-21 20:52:04,0.5412,123.0595,74.62,95,97,2.19
36,Port Hardy,CA,2022-04-21 20:52:04,50.6996,-127.4199,53.6,71,75,6.91
37,Jacobina,BR,2022-04-21 20:52:05,-11.1806,-40.5183,76.39,69,100,7.47
38,Tual,ID,2022-04-21 20:52:05,-5.6667,132.75,83.21,73,100,3.78
39,Kapaa,US,2022-04-21 20:52:05,22.0752,-159.319,76.12,83,75,14.97
40,Alofi,NU,2022-04-21 20:52:06,-19.0595,-169.9187,78.69,89,100,3.44
41,Busselton,AU,2022-04-21 20:52:06,-33.65,115.3333,55.06,73,0,12.08
42,Arraial Do Cabo,BR,2022-04-21 20:48:41,-22.9661,-42.0278,76.96,73,40,6.91
43,Padang,ID,2022-04-21 20:51:53,-0.9492,100.3543,78.08,84,100,3.62
44,Menongue,AO,2022-04-21 20:52:06,-14.6585,17.691,57.69,67,21,3.18
45,Dikson,RU,2022-04-21 20:52:07,73.5069,80.5464,0.03,100,99,11.65
46,Comodoro Rivadavia,AR,2022-04-21 20:52:07,-45.8667,-67.5,53.46,76,75,16.11
47,Linxia,CN,2022-04-21 20:53:07,35.6003,103.2064,49.96,49,100,3.36
48,Chuy,UY,2022-04-21 20:53:08,-33.6971,-53.4616,65.71,81,88,9.53
49,Coquimbo,CL,2022-04-21 20:50:49,-29.9533,-71.3436,60.53,82,0,12.66
50,Porbandar,IN,2022-04-21 20:53:08,21.6422,69.6093,80.19,79,4,11.32
51,Upernavik,GL,2022-04-21 20:53:08,72.7868,-56.1549,16.23,79,99,7.43
52,Port Alfred,ZA,2022-04-21 20:53:09,-33.5906,26.891,69.78,68,64,7.05
53,Tananger,NO,2022-04-21 20:53:09,58.9333,5.6,51.13,67,0,2.3
54,Chuchkovo,RU,2022-04-21 20:53:09,54.2693,41.4465,41.86,96,100,6.89
55,Itarema,BR,2022-04-21 20:53:10,-2.9248,-39.9167,78.49,88,91,10.54
56,Saint George,US,2022-04-21 20:50:09,37.1041,-113.5841,85.62,11,0,27.63
57,Salalah,OM,2022-04-21 20:53:10,17.0151,54.0924,78.66,76,3,4.12
58,Hambantota,LK,2022-04-21 20:53:10,6.1241,81.1185,79.59,85,93,8.41
59,Megion,RU,2022-04-21 20:53:11,61.0296,76.1136,12.22,94,60,9.89
60,Zhezkazgan,KZ,2022-04-21 20:53:11,47.8043,67.7144,60.33,41,97,5.48
61,Saskylakh,RU,2022-04-21 20:53:11,71.9167,114.0833,0.21,99,100,4.85
62,Tasiilaq,GL,2022-04-21 20:53:12,65.6145,-37.6368,32.32,97,100,15.14
63,Alexandria,EG,2022-04-21 20:51:38,31.2156,29.9553,61.34,72,40,8.05
64,Longyearbyen,SJ,2022-04-21 20:53:12,78.2186,15.6401,30.04,86,75,8.05
65,Vaini,TO,2022-04-21 20:53:12,-21.2,-175.2,78.96,89,20,1.14
