City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,44.11,76,75,19.57,broken clouds
1,Butaritari,KI,3.0707,172.7902,81.46,79,88,13.35,light rain
2,Narsaq,GL,60.9167,-46.05,43.02,79,65,2.15,broken clouds
3,Lalmohan,BD,22.3384,90.7419,81.37,81,72,8.99,broken clouds
4,Avarua,CK,-21.2078,-159.775,82.45,74,20,5.75,few clouds
5,Atuona,PF,-9.8,-139.0333,78.31,81,100,12.73,overcast clouds
6,Exaplatanos,GR,40.9772,22.125,56.21,94,98,1.99,overcast clouds
7,Bonoua,CI,5.2741,-3.595,83.82,89,78,4.12,light rain
8,Fare,PF,-16.7,-151.0167,80.96,72,7,9.24,clear sky
9,Nikolayevsk-Na-Amure,RU,53.1406,140.73,36.05,87,99,3.22,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,53.87,75,100,18.99,overcast clouds
11,Busselton,AU,-33.65,115.3333,62.2,81,68,0.43,broken clouds
12,Thompson,CA,55.7435,-97.8558,28.56,86,100,14.97,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,42.46,70,20,10.36,few clouds
14,Yellowknife,CA,62.456,-114.3525,43.32,52,0,15.01,clear sky
15,Bluff,NZ,-46.6,168.3333,59.81,77,29,12.39,scattered clouds
16,Kapaa,US,22.0752,-159.319,82.38,76,40,18.41,scattered clouds
17,Berlevag,NO,70.8578,29.0864,17.4,72,91,9.28,overcast clouds
18,Masvingo,ZW,-20.0637,30.8277,53.42,95,19,4.76,few clouds
19,Mataura,NZ,-46.1927,168.8643,59.49,72,13,4.18,few clouds
20,Cherskiy,RU,68.75,161.3,28.45,85,16,11.72,few clouds
21,Hilo,US,19.7297,-155.09,81.28,82,75,12.66,broken clouds
22,Jamestown,US,42.097,-79.2353,56.95,92,100,10.36,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,76.46,70,20,5.48,few clouds
24,Grindavik,IS,63.8424,-22.4338,39.67,81,0,2.3,clear sky
25,Mogadishu,SO,2.0371,45.3438,82.4,78,100,14.58,moderate rain
26,Hithadhoo,MV,-0.6,73.0833,85.33,74,100,17.47,overcast clouds
27,Codrington,AU,-38.2667,141.9667,64.09,66,100,12.1,overcast clouds
28,Hobart,AU,-42.8794,147.3294,63.05,68,75,6.91,broken clouds
29,Bredasdorp,ZA,-34.5322,20.0403,55.15,94,53,4.16,broken clouds
30,Souillac,MU,-20.5167,57.5167,71.98,94,20,1.14,few clouds
31,Marathon,US,44.9,-89.7668,47.73,90,100,12.66,light rain
32,Praia,CV,14.9215,-23.5087,70.34,78,20,13.8,few clouds
33,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.7,86,76,6.51,broken clouds
34,Aklavik,CA,68.2191,-135.0107,39.06,84,67,14.92,broken clouds
35,Kahului,US,20.8947,-156.47,80.62,73,40,20.71,scattered clouds
36,Kavaratti,IN,10.5669,72.642,84.06,71,86,9.01,overcast clouds
37,Barrow,US,71.2906,-156.7887,19.42,93,100,16.11,overcast clouds
38,Andra,RU,62.5147,65.8878,29.41,96,100,13.62,snow
39,Hermanus,ZA,-34.4187,19.2345,58.08,86,57,9.86,broken clouds
40,Westport,US,41.1415,-73.3579,62.6,49,0,10.36,clear sky
41,Kasulu,TZ,-4.5767,30.1025,62.38,95,99,3.15,light rain
42,Chokurdakh,RU,70.6333,147.9167,28.54,91,61,10.25,broken clouds
43,Airai,TL,-8.9266,125.4092,63.79,72,70,3.85,broken clouds
44,Lorengau,PG,-2.0226,147.2712,82.45,79,91,3.0,overcast clouds
45,Nioro,GM,13.35,-15.75,82.47,32,39,6.78,scattered clouds
46,Ancud,CL,-41.8697,-73.8203,50.32,91,41,4.14,scattered clouds
47,Bilma,NE,18.6853,12.9164,91.15,11,42,7.87,scattered clouds
48,Batagay-Alyta,RU,67.8006,130.4114,20.17,93,100,6.73,light snow
49,Carutapera,BR,-1.195,-46.02,76.3,92,100,4.74,moderate rain
50,Nikolskoye,RU,59.7035,30.7861,41.72,91,59,5.32,broken clouds
51,Nanakuli,US,21.3906,-158.1547,84.15,60,75,9.22,broken clouds
52,Empalme,MX,27.9667,-110.8167,89.35,42,0,16.11,clear sky
53,Upernavik,GL,72.7868,-56.1549,0.75,88,50,3.22,scattered clouds
54,Pamanukan,ID,-6.2842,107.8106,79.0,83,92,3.89,overcast clouds
55,Sisimiut,GL,66.9395,-53.6735,25.72,76,34,6.29,scattered clouds
56,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,11.5,clear sky
57,Srandakan,ID,-7.9386,110.2506,79.66,86,99,3.42,overcast clouds
58,Palasa,IN,18.7667,84.4167,80.49,86,88,4.38,overcast clouds
59,Moctezuma,MX,29.8,-109.6667,87.15,10,0,19.77,clear sky
60,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,0,11.5,clear sky
61,Puerto Colombia,CO,10.9878,-74.9547,84.29,83,100,4.56,overcast clouds
